AMST,Course Code,Required for Major,Required for Minor
,AMST 101 ,1.15,1.12
,AMST 103 ,1.15,1.12
,AMST 110 ,1.15,1.12
,AMST 112 ,5.6,2.4
,AMST 160 ,5.6,2.4
,AMST 194 ,5.6,2.4
,AMST 200 ,2.1,2.4
,AMST 202 ,5.6,2.4
,AMST 203 ,5.6,2.4
,AMST 205 ,5.6,2.4
,AMST 209 ,5.6,2.4
,AMST 219 ,5.6,2.4
,AMST 222 ,5.6,2.4
,AMST 224 ,5.6,2.4
,AMST 225 ,5.6,2.4
,AMST 226 ,5.6,2.4
,AMST 229 ,5.6,2.4
,AMST 231 ,5.6,2.4
,AMST 232 ,5.6,2.4
,AMST 235 ,5.6,2.4
,AMST 237 ,5.6,2.4
,AMST 240 ,5.6,2.4
,AMST 241 ,5.6,2.4
,AMST 244 ,5.6,2.4
,AMST 250 ,5.6,2.4
,AMST 251 ,5.6,2.4
,AMST 253 ,5.6,2.4
,AMST 256 ,5.6,2.4
,AMST 260 ,5.6,2.4
,AMST 263 ,5.6,2.4
,AMST 265 ,5.6,2.4
,AMST 268 ,5.6,2.4
,AMST 270 ,5.6,2.4
,AMST 271 ,5.6,2.4
,AMST 275 ,5.6,2.4
,AMST 281 ,5.6,2.4
,AMST 284 ,5.6,2.4
,AMST 288 ,5.6,2.4
,AMST 294 ,5.6,2.4
,AMST 300 ,3.15,2.4
,AMST 301 ,3.15,2.4
,AMST 308 ,5.6,2.4
,AMST 315 ,5.6,2.4
,AMST 336 ,5.6,2.4
,AMST 340 ,5.6,2.4
,AMST 341 ,5.6,2.4
,AMST 355 ,5.6,2.4
,AMST 370 ,5.6,2.4
,AMST 380 ,5.6,2.4
,AMST 384 ,5.6,2.4
,AMST 387 ,5.6,2.4
,AMST 392 ,5.6,2.4
,AMST 394 ,5.6,2.4
,AMST 400 ,4.1,2.4
,AMST 445 ,5.6,2.4
,AMST 494 ,5.6,2.4
, , , 
, ,Other Major Requirements, 2 credit internship