Area of Study,Course Code,Required for Major,Required for Minor
ARTH
,ART 130,5.2,4.1
,ART 131,5.2,4.1
,ART 149,,1.1
,ART 160,1.1,2.2
,ART 161,2.1,2.2
,ART 210,4.5,3.2
,ART 230,5.2,4.1
,ART 233,5.2,4.1
,ART 234,5.2,4.1
,ART 235,5.2,4.1
,ART 236,5.2,4.1
,ART 238,5.2,4.1
,ART 239,5.2,4.1
,ART 252,4.5,3.2
,ART 253,4.5,3.2
,ART 254,4.5,3.2
,ART 263,4.5,3.2
,ART 264,4.5,3.2
,ART 267,5.2,4.1
,ART 270,4.5,
,ART 271,4.5,3.2
,ART 272,3.1,2.23
,ART 273,3.1,2.2
,ART 280,4.5,3.2
,ART 281,4.5,3.2
,ART 282,4.5,3.2
,ART 283,4.5,3.2
,ART 284,4.5,3.2
,ART 285,4.5,3.2
,ART 294,4.5,3.2
,ART 327,,3.2
,ART 330,5.2,4.1
,ART 332,5.2,4.1
,ART 333,5.2,4.1
,ART 334,5.2,4.1
,ART 370,5.2,4.1
,ART 371,5.2,4.1
,ART 372,5.2,4.1
,ART 373,5.2,4.1
,ART 374,5.2,4.1
,ART 375,4.5,3.2
,ART 380,4.5,3.2
,ART 487,6.1,3.2
,,,
,,Other Major Requirements,
,,2 credit independent study,
,,Capstone research paper,
,,Oral presentation,