CHIN,Course Code,Required for Major,Required for Minor
,CHIN 123,4.22,1.22
,CHIN 203,1.3,
,CHIN 204,1.3,
,CHIN 251,2.445,1.22
,CHIN 255,2.44,1.22
,CHIN 258,2.44,1.22
,CHIN 305,1.3,2.3
,CHIN 306,1.3,2.3
,CHIN 353,2.434,1.22
,CHIN 407,1.3,2.3
,CHIN 408,1.3,2.3
,CHIN 409,2.4,1.22
,CHIN 452,3.1,1.22
ASIA,ASIA 272,5.12,1.22
,ASIA 274,2.45,1.22
,ASIA 275,2.45,1.22
,ASIA 378,2.45,1.22
,,,
,Other Major Requirements 1,Proficiency equal to CHIN 407,
,Other Major Requirements 2,Study away in China or Taiwan,
,Other Minor Requirements,,Proficiency equal to CHIN 306