CLAS civ,Course Code,Required for Major,Required for Minor
,CLAS 101,1.1,1.1
,CLAS 111,5.5,2.4
,CLAS 113,5.5,2.4
,CLAS 115,5.5,2.4
,CLAS 117,5.5,2.4
,CLAS 121,2.15,1.1
,CLAS 122,2.15,1.1
,CLAS 127,2.15,1.1
,CLAS 129,2.15,1.1
,CLAS 130,2.15,1.1
,CLAS 135,2.15,1.1
,CLAS 145,2.15,1.1
,CLAS 155,2.15,1.1
,CLAS 194,5.5,2.4
,CLAS 200,5.5,2.4
,CLAS 202,5.5,2.4
,CLAS 212,5.5,2.4
,CLAS 214,5.5,2.4
,CLAS 218,5.5,2.4
,CLAS 220,5.5,2.4
,CLAS 223,5.5,2.4
,CLAS 231,3.15,2.4
,CLAS 235,5.5,2.4
,CLAS 237,3.15,2.4
,CLAS 241,3.15,2.4
,CLAS 260,5.5,2.4
,CLAS 261,3.15,2.4
,CLAS 270,5.5,2.4
,CLAS 283,5.5,2.4
,CLAS 294,5.5,2.4
,CLAS 332,3.15,2.4
,CLAS 338,3.15,2.4
,CLAS 342,3.15,2.4
,CLAS 362,3.15,2.4
,CLAS 392,5.5,2.4
,CLAS 394,5.5,2.4
,CLAS 482,5.5,2.4
,CLAS 483,5.5,2.4
,CLAS 485,5.5,2.4
,CLAS 487,5.5,2.4
,CLAS 490,4.1,2.4
,CLAS 494,5.5,2.4
,,,
,Other Major Requirements 1,Major research project or CLAS 301,
,Other Major Requirements 2,Study away,