COGSCI,Course Code,Required for Concentration
,GEOG 378,1.1
,POLI 269,1.1
,PSYC 201,1.1
,SOCI 269,1.1
,STAT 155,1.1
,ECON 490,2.2
,EDUC 220,2.2
,LING 208,2.2
,PHIL 213,2.2
,PHIL 315,2.2
,PSYC 242,2.2
,PSYC 244,2.2
,PSYC 246,2.2
,PSYC 385,2.2
,COMP 480,3.2
,COMP 484,3.2
,PHIL 311,3.2
,MATH 212,3.2
,PSYC 100,3.2
,PSYC 180,3.2
,PSYC 342,3.2
,PSYC 377,3.2
,PSYC 378,3.2
,PSYC 450,3.2
,COMP 112,4.2
,COMP 123,4.2
,COMP 361,4.2
,COMP 440,4.2
,ECON 119,4.2
,ECON 361,4.2
,ENGL 260,4.2
,LING 100,4.2
,PHIL 110,4.2
,PHIL 111,4.2
,PHIL 201,4.2
,PHIL 225,4.2
,PHIL 226,4.2
,PHIL 310,4.2
,PHIL 313,4.2
,PHIL 314,4.2
,POLI 270,4.2
,PSYC 254,4.2
,,
,Other Concentration Requirements,Poster Presentation