RELI,Course Code,Required for Major,Required for Minor
,RELI 100,1.6,1.5
,RELI 101,1.6,1.5
,RELI 102,1.6,1.5
,RELI 109,1.6,1.5
,RELI 110,1.6,1.5
,RELI 111,1.6,1.5
,RELI 112,1.6,1.5
,RELI 120,1.6,1.5
,RELI 121,1.6,1.5
,RELI 124,1.6,1.5
,RELI 126,1.6,1.5
,RELI 127,1.6,1.5
,RELI 130,1.6,1.5
,RELI 135,1.6,1.5
,RELI 136,1.6,1.5
,RELI 145,1.6,1.5
,RELI 172,1.6,1.5
,RELI 194,1.6,1.5
,RELI 200,1.6,1.5
,RELI 202,1.6,1.5
,RELI 212,1.6,1.5
,RELI 222,1.6,1.5
,RELI 223,1.6,1.5
,RELI 225,1.6,1.5
,RELI 226,1.6,1.5
,RELI 232,1.6,1.5
,RELI 233,1.6,1.5
,RELI 234,1.6,1.5
,RELI 235,2.1,1.5
,RELI 236,1.6,1.5
,RELI 238,1.6,1.5
,RELI 241,1.6,1.5
,RELI 252,1.6,1.5
,RELI 253,1.6,1.5
,RELI 254,1.6,1.5
,RELI 256,1.6,1.5
,RELI 276,1.6,1.5
,RELI 277,1.6,1.5
,RELI 278,1.6,1.5
,RELI 294,1.6,1.5
,RELI 311,1.6,1.5
,RELI 325,1.6,1.5
,RELI 336,1.6,1.5
,RELI 354,1.6,1.5
,RELI 359,1.6,1.5
,RELI 394,1.6,1.5
,RELI 469,3.1,1.5
,RELI 494,1.6,1.5
,,,
,Other Major Requirements 1,2 approved supplementary courses,
,Other Major Requirements 2,Senior Dialouge,