CHEM,Course Code,Required for Major,Required for Minor
,CHEM 111,,5.2
,CHEM 112,1.1,1.1
,CHEM 115,1.1,1.1
,CHEM 120,,5.2
,CHEM 123,,5.2
,CHEM 194,,5.2
,CHEM 211,3.1,2.1
,CHEM 212,4.1,3.1
,CHEM 222,2.1,4.15
,CHEM 294,,5.2
,CHEM 300,8.4,6.2
,CHEM 311,5.1,4.15
,CHEM 312,6.1,4.15
,CHEM 351,,5.2
,CHEM 352,,5.2
,CHEM 353,,5.2
,CHEM 361,,5.2
,CHEM 394,,5.2
,CHEM 411,7.1,5.2
,CHEM 474,,5.2
,CHEM 494,,5.2
PHYS,PHYS 226,9.1,
,PHYS 227,10.1,
MATH,MATH 137,11.1,
,MATH 236,12.1,
BIOL,BIOL 359,,5.2
,,,
,Other Major Requirements,4 credits of CHEM 300
,Other Minor Requirements,,2 credits of CHEM 300