CLAS lang,Course Code,Required for Major,Required for Minor
,CLAS 101,1.1,1.1
,CLAS 111,3.6,2.33
,CLAS 113,3.6,2.33
,CLAS 115,3.6,2.33
,CLAS 117,3.6,2.33
,CLAS 121,2.1,1.1
,CLAS 122,2.1,1.1
,CLAS 127,2.1,1.1
,CLAS 129,2.1,1.1
,CLAS 130,2.1,1.1
,CLAS 135,2.1,1.1
,CLAS 145,2.1,1.1
,CLAS 155,2.1,1.1
,CLAS 194,,2.33
,CLAS 200,,2.33
,CLAS 202,,2.33
,CLAS 212,3.6,2.33
,CLAS 214,3.6,2.33
,CLAS 218,3.6,2.33
,CLAS 220,,2.33
,CLAS 223,,2.33
,CLAS 231,3.6,3.1
,CLAS 235,3.6,2.33
,CLAS 237,3.6,3.1
,CLAS 241,3.6,3.1
,CLAS 260,,2.33
,CLAS 261,3.6,3.1
,CLAS 270,,2.33
,CLAS 283,,2.33
,CLAS 294,,2.33
,CLAS 332,3.6,3.1
,CLAS 338,3.6,3.1
,CLAS 342,3.6,3.1
,CLAS 362,3.6,3.1
,CLAS 392,,2.33
,CLAS 394,,2.33
,CLAS 482,,2.33
,CLAS 483,4.13,2.33
,CLAS 485,4.13,3.1
,CLAS 487,4.13,2.33
,CLAS 490,5.1,2.33
,CLAS 494,,2.33
,,,
,Other Major Requirements 1,Major research project or CLAS 301,
,Other Major Requirements 2,Study away,