COMGH,Course Code,Required for Concentration
,ANTH 239,1.1
,BIOL 116,1.1
,ECON 233,1.1
,INTL 282,1.1
,PHIL 220,1.1
,PSYC 380,1.1
,POLI 205,1.1
,STAT 125,2.1
,GEOG 256,1.1
,HIST 164,1.1
,PHIL 223,1.1
,ANTH 241,3.4
,ANTH 380,3.4
,BIOL 112,3.4
,BIOL 117,3.4
,BIOL 312,3.4
,BIOL 300,3.4
,BIOL 402,3.4
,BIOL 357,3.4
,BIOL 367,3.4
,EDUC 230,3.4
,ENVI 237,3.4
,GEOG 258,3.4
,GEOG 368,3.4
,GEOG 475,3.4
,HIST 241,3.4
,HIST 264,3.4
,HIST 271,3.4
,HIST 350,3.4
,INTL 246,3.4
,PSYC 182,3.4
,PSYC 252,3.4
,PSYC 272,3.4
,PSYC 378,3.4
,SOCI 22,3.4
,STAT 451,3.4
,STAT 453,3.4
,WGSS 294,3.4
,INTD 411,4.1
,,
,Other Concentration Requirements,Civic Experience or Advanced Research Project