COMP,Course Code,Required for Major,Required for Minor
,COMP 120,1.1,1.5
,COMP 123,1.1,1.5
,COMP 127,2.1,1.5
,COMP 128,3.1,1.5
,COMP 154,,1.5
,COMP 194,,1.5
,COMP 212,,1.5
,COMP 221,6.1,1.5
,COMP 225,7.1,1.5
,COMP 240,8.1,1.5
,COMP 272,,1.5
,COMP 294,,1.5
,COMP 302,9.2,1.5
,COMP 320,9.2,1.5
,COMP 321,9.2,1.5
,COMP 325,9.2,1.5
,COMP 340,9.2,1.5
,COMP 342,A.19,1.5
,COMP 361,9.2,1.5
,COMP 364,9.2,1.5
,COMP 365,9.2,1.5
,COMP 381,9.2,1.5
,COMP 394,9.2,1.5
,COMP 435,9.2,1.5
,COMP 440,A.19,1.5
,COMP 445,A.19,1.5
,COMP 446,A.19,1.5
,COMP 456,A.19,1.5
,COMP 465,A.19,1.5
,COMP 479,5.29,1.5
,COMP 480,A.19,1.5
,COMP 484,9.2,1.5
,COMP 487,9.2,1.5
,COMP 494,9.2,
,MATH 279,4.1,
,STAT 155,5.2,
,MATH 135,5.2,
,MATH 137,5.2,
,MATH 194,5.2,
,MATH 212,5.2,
,MATH 236,5.2,
,MATH 237,5.2,
,STAT 253,5.2,
,MATH 294,5.2,
,MATH 312,5.2,
,MATH 313,5.2,
,MATH 353,5.2,
,MATH 354,5.2,
,MATH 361,5.2,
,MATH 365,5.2,
,MATH 371,5.2,
,MATH 373,5.2,
,MATH 375,5.2,
,MATH 376,5.2,
,MATH 377,5.2,
,MATH 379,5.2,
,MATH 394,5.2,
,MATH 432,5.2,
,MATH 437,5.2,
,MATH 455,5.2,
,MATH 465,5.2,
,MATH 471,5.2,
,MATH 476,5.2,
,MATH 477,5.2,
,MATH 478,5.2,
,MATH 479,5.2,
,MATH 494,5.2,