JAPA,Course Code,Required for Major,Required for Minor
,JAPA 150,4.22,1.22
,JAPA 194,2.4,1.22
,JAPA 203,1.3,
,JAPA 204,1.3,
,JAPA 254,2.445,1.22
,JAPA 260,2.445,1.22
,JAPA 282,2.44,1.22
,JAPA 288,2.44,1.22
,JAPA 294,2.4,1.22
,JAPA 305,1.3,2.3
,JAPA 306,1.3,2.3
,JAPA 335,2.434,1.22
,JAPA 394,2.4,1.22
,JAPA 407,1.3,2.3
,JAPA 408,1.3,2.3
,JAPA 488,3.1,2.3
,JAPA 494,2.4,1.22
ASIA,ASIA 271,2.4,1.2
,ASIA 273,5.12,1.2
,ASIA 276,2.45,1.2
,ASIA 277,2.45,1.2
,ASIA 378,2.45,1.2
RELI,RELI 172,2.4,1.2
,,,
,Other Major Requirements 1,Proficiency equal to JAPA 407,
,Other Major Requirements 2,Study away in Japan,
,Other Minor Requirements,,Proficiency equal to JAPA 306