MUSI,Course Code,Required for Major,Required for Minor
,MUSI 113,1.1,1.1
,MUSI 131,3.25,2.4
,MUSI 153,2.25,2.4
,MUSI 154,2.25,2.4
,MUSI 155,3.25,2.4
,MUSI 180,4.25,2.4
,MUSI 194,5.2,
,MUSI 205,3.25,2.4
,MUSI 211,2.25,2.4
,MUSI 214,2.25,2.4
,MUSI 220,4.25,2.4
,MUSI 225,4.25,2.4
,MUSI 233,2.25,2.4
,MUSI 254,3.25,2.4
,MUSI 264,3.25,2.4
,MUSI 294,5.2,
,MUSI 315,3.25,2.4
,MUSI 342,3.25,2.4
,MUSI 343,3.25,2.4
,MUSI 344,3.25,2.4
,MUSI 354,4.25,2.4
,MUSI 361,2.25,2.4
,MUSI 370,4.25,2.4
,MUSI 394,5.2,
,MUSI 405,4.25,2.4
,MUSI 425,4.25,2.4
,MUSI 488,6.1,
,MUSI 494,5.2,
,,,
,Other Major Requirements 1,2 ensembles,
,Other Major Requirements 2,2 lessons,
,Other Major Requirements 3,1 keyboard skills,
,Other Major Requirements 4,1 additional performance unit,
,Other Minor Requirements 1,,1 additional performance unit
,Other Minor Requirements 2,,2 lessons
,Other Minor Requirements 3,,1 ensemble