NSCI,Course Code,Required for Major,Required for Minor
,NSCI 488,D.1,
,BIOL 190,1.1,
,BIOL 200,2.1,1.1
,BIOL 316,6.1,3.2
,BIOL 304,8.1,3.2
,BIOL 357,8.1,
,BIOL 364,A.1,3.2
,BIOL 400,D.1,3.2
,BIOL 401,D.1,3.2
,BIOL 406,A.1,
,BIOL 473,A.1,
,BIOL 475,A.1,3.2
,BIOL 180,C.1,
,BIOL 365,C.1,
,CHEM 112,3.1,
,CHEM 115,3.1,
,PSYC 100,4.1,2.1
,PSYC 180,4.1,2.1
,PSYC 248,7.1,4.2
,PSYC 244,9.1,4.2
,PSYC 246,9.1,4.2
,PSYC 240,9.1,
,PSYC 382,D.1,4.2
,PSYC 385,D.1,4.2
,PSYC 390,B.1,4.2
,PSYC 450,D.1,4.2
,PSYC 242,C.1,
,PSYC 252,C.1,
,PSYC 272,C.1,
,PSYC 378,C.1,
,COMP 484,C.1,
,STAT 253,C.1,
,STAT 155,5.1,
,ECON 490,C.1,
,HIST 271,C.1,
,PHIL 213,C.1,
,,,
,Other Major Requirements,1 research or internship,