PHIL,Course Code,Required for Major,Required for Minor
,PHIL 100,7.1,2.1
,PHIL 110,7.1,3.3
,PHIL 111,1.1,3.3
,PHIL 121,2.1,1.1
,PHIL 194,7.1,3.3
,PHIL 200,3.1,3.3
,PHIL 201,4.1,2.1
,PHIL 202,7.1,3.3
,PHIL 211,7.1,3.3
,PHIL 212,7.1,3.3
,PHIL 213,6.3,3.3
,PHIL 215,7.1,3.3
,PHIL 216,7.1,3.3
,PHIL 218,7.1,3.3
,PHIL 220,7.1,3.3
,PHIL 221,7.1,3.3
,PHIL 224,6.3,3.3
,PHIL 225,7.1,3.3
,PHIL 226,7.1,3.3
,PHIL 294,7.1,3.3
,PHIL 300,6.3,3.3
,PHIL 309,7.1,3.3
,PHIL 310,6.3,3.3
,PHIL 311,6.3,3.3
,PHIL 313,6.3,3.3
,PHIL 314,6.3,3.3
,PHIL 315,6.3,3.3
,PHIL 316,7.1,3.3
,PHIL 321,6.3,3.3
,LING 311,6.3,
,PHIL 394,6.3,3.3
,PHIL 488,7.1,3.3
,PHIL 489,5.1,3.3
,PHIL 494,7.1,3.3
,MATH 212,6.3,
,MATH 313,6.3,