PSYC,Course Code,Required for Major,Required for Minor
,PSYC 100,1.1,1.1
,PSYC 172,A.1,5.1
,PSYC 180,6.1,5.1
,PSYC 182,10.1,5.1
,PSYC 194,A.1,5.1
,PSYC 201,2.1,5.1
,PSYC 220,6.1,5.1
,PSYC 240,4.1,3.1
,PSYC 242,4.1,3.1
,PSYC 243,6.1,5.1
,PSYC 244,4.1,3.1
,PSYC 246,4.1,3.1
,PSYC 248,4.1,3.1
,PSYC 250,5.1,3.1
,PSYC 252,5.1,3.1
,PSYC 254,5.1,3.1
,PSYC 258,5.1,3.1
,PSYC 264,8.1,5.1
,PSYC 270,6.1,5.1
,PSYC 272,5.1,3.1
,PSYC 294,A.1,5.1
,PSYC 301,3.1,4.1
,PSYC 342,7.3,4.1
,PSYC 350,8.1,4.1
,PSYC 364,7.3,4.1
,PSYC 368,7.3,4.1
,PSYC 370,A.1,4.1
,PSYC 374,7.3,4.1
,PSYC 377,7.3,4.1
,PSYC 378,7.3,4.1
,PSYC 380,8.1,4.1
,PSYC 385,7.3,4.1
,PSYC 394,7.3,4.1
,PSYC 401,9.1,4.1
,PSYC 402,9.1,4.1
,PSYC 450,9.1,4.1
,PSYC 489,A.1,4.1
,PSYC 490,7.3,4.1
,PSYC 494,7.3,4.1
,STAT 155,,2.1