RUSS,Course Code,Required for Major,Required for Minor
,RUSS 101,,
,RUSS 102,,
,RUSS 151,2.4,
,RUSS 194,2.4,
,RUSS 203,1.4,1.2
,RUSS 204,1.4,1.2
,RUSS 245,3.12,2.3
,RUSS 250,2.4,2.3
,RUSS 251,2.4,2.3
,RUSS 252,2.4,2.3
,RUSS 257,2.4,2.3
,RUSS 260,2.4,2.3
,RUSS 261,2.4,2.3
,RUSS 262,3.1,2.3
,RUSS 265,2.4,2.3
,RUSS 270,3.12,2.3
,RUSS 272,2.4,2.3
,RUSS 294,2.4,2.3
,RUSS 305,1.4,2.3
,RUSS 363,2.4,2.3
,RUSS 364,2.4,2.3
,RUSS 367,2.4,2.3
,RUSS 394,2.4,2.3
,RUSS 405,1.4,2.3
,RUSS 488,,2.3
,RUSS 494,,2.3
,ECON 225,3.12,2.3
,ECON 325,3.12,2.3
,HIST 260,3.12,2.3
,HIST 262,3.12,2.3
,INTL 285,3.12,2.3
,INTL 317,3.12,2.3
,,,
,Other Major Requirements,Study Abroad,