SPAN,Course Code,Required for Major,Required for Minor
,SPAN 294,4.3,3.2
,SPAN 305,1.1,1.1
,SPAN 306,1.1,1.1
,SPAN 307,7.14,3.2
,SPAN 308,7.14,3.2
,SPAN 309,4.3,3.2
,SPAN 316,6.14,3.2
,SPAN 325,7.14,3.2
,SPAN 330,8.14,3.2
,SPAN 332,4.3,3.2
,SPAN 334,4.3,3.2
,SPAN 343,7.14,3.2
,SPAN 354,6.13,2.2
,SPAN 355,6.13,2.2
,SPAN 357,6.13,2.2
,SPAN 359,6.13,2.2
,SPAN 360,7.13,2.2
,SPAN 361,3.34,2.2
,SPAN 362,3.34,2.2
,SPAN 373,3.34,2.2
,SPAN 375,8.13,2.2
,SPAN 376,8.13,2.2
,SPAN 377,8.13,2.2
,SPAN 382,3.34,2.2
,SPAN 385,3.34,2.2
,SPAN 386,3.34,2.2
,SPAN 387,3.34,2.2
,SPAN 394,3.34,2.2
,SPAN 488,5.1,2.2
,SPAN 494,3.3,2.2
,PORT 111,2.1,
,,,
,Other Major Requirements,Study abroad experience,