THDA,Course Code,,Required for Minor
, THDA 21 ,,3.4
, THDA 22 ,,3.4
, THDA 31 ,,3.4
, THDA 41 ,,3.4
, THDA 42 ,,3.4
, THDA 43 ,,3.4
, THDA 44 ,,3.4
, THDA 51 ,,3.4
, THDA 53 ,,3.4
, THDA 55 ,,3.4
, THDA 60 ,,3.4
, THDA 79 ,,3.4
, THDA 80 ,,3.4
, THDA 81 ,,3.4
, THDA 105,,1.12
, THDA 112,,1.12
, THDA 113,,1.12
, THDA 120,,3.4
, THDA 125,,2.13
, THDA 145,,2.13
, THDA 194,,3.4
, THDA 215,,3.4
, THDA 217,,3.4
, THDA 220,,3.4
, THDA 221,,3.4
, THDA 225,,3.4
, THDA 230,,3.4
, THDA 232,,2.13
, THDA 235,,2.13
, THDA 242,,3.4
, THDA 245,,3.4
, THDA 250,,3.4
, THDA 255,,2.13
, THDA 285,,2.13
, THDA 287,,3.4
, THDA 294,,3.4
, THDA 350,,3.4
, THDA 360,,3.4
, THDA 375,,2.13
, THDA 385,,3.4
, THDA 394,,3.4
, THDA 490,,3.4
, THDA 494,,3.4